amfi_code,max_drawdown_pct
100016,-24.7344408806733
100025,-4.308263824636346
100033,-16.21720857464485
101206,-11.291596329323077
101207,-35.44691649336603
101208,-0.16224980244717319
102885,-10.859862152502323
102886,-28.00112356639287
102887,-21.53982711238323
118632,-17.41407508665723
118633,-18.629743138595508
118634,-23.34488614483311
118635,-11.650624505409093
118636,-8.316361763638701
119092,-14.401617909337267
119093,-21.75139637014823
119094,-20.960883862039193
119095,-51.67775370852657
119120,-4.328728923970098
119551,-15.012385498645333
119552,-11.8034935027643
119598,-28.706005721764555
119599,-52.574221170128496
120503,-13.897862823061635
120504,-12.588275606922513
120505,-18.188513572116292
120506,-19.82565826298267
120507,-0.09773140045925681
120841,-17.573614164687285
120842,-24.003511326274882
120843,-12.97396816518679
120844,-0.11629327956168764
125497,-15.200013055606393
125498,-21.117279560132122
148567,-11.26572907502827
148568,-15.27259422823477
148569,-16.396742946932633
149322,-14.844576917771747
149323,-17.24810575345138
149324,-31.17190030063422
