amfi_code,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,score
120505,32.82740607461121,1.1801011976606492,2.0293529404657464,-18.188513572116292,81.0
148569,31.94952310833252,1.2349300257743294,2.146913926346055,-16.396742946932633,79.5
148567,30.974107501859027,1.4482911703262598,2.3856443733688186,-11.26572907502827,77.75
120843,30.907454754005492,1.3067439695428409,2.3643200321667184,-12.97396816518679,76.75
119598,32.423536152454616,0.9453082575156095,1.6753165700125519,-28.706005721764555,72.5
149323,29.581086910433996,1.1321218524747243,1.8751010639192083,-17.24810575345138,72.0
149324,32.287440451573616,0.9497958246616031,1.6197931764914093,-31.17190030063422,71.5
119551,25.804686425584002,1.2082665673727175,2.140267129061793,-15.012385498645333,71.25
100033,30.12315310072722,1.093698743534631,1.8291339615146942,-16.21720857464485,70.75
118632,24.049492662391756,1.0816591793457042,1.850132546855726,-17.41407508665723,67.25
119094,28.214417193652032,0.9982309868636413,1.7037974802463003,-20.960883862039193,66.25
101206,23.53836133468803,1.0272133278753695,1.799562874698452,-11.291596329323077,60.5
120504,23.29511862010305,1.0265242847993001,1.8052937940992548,-12.588275606922513,60.0
148568,22.516869007113847,0.9262873467360146,1.632740977873516,-15.27259422823477,55.0
119552,21.524235873769705,0.9532794968660104,1.609776489628308,-11.8034935027643,53.25
125497,19.017795344711462,0.7757902498211205,1.3306512447571364,-15.200013055606393,48.0
120503,18.785325598262204,0.7979728586052847,1.3379431500669237,-13.897862823061635,47.25
102885,18.23237888770595,0.8170993373494367,1.4357420130649492,-10.859862152502323,45.75
120506,17.08486725575018,0.6488787755249534,1.0958951614736467,-19.82565826298267,44.25
102887,16.84112024730753,0.6195175900829828,1.0887552508030016,-21.53982711238323,42.0
118633,16.274217354504273,0.6452074382933215,1.154475716923624,-18.629743138595508,41.25
118635,15.957231179671737,0.664856998549062,1.137976718780742,-11.650624505409093,37.25
118634,16.373474033415757,0.44843400890899127,0.7460146308533572,-23.34488614483311,36.5
120841,13.53221114899239,0.4942725378672349,0.8625738849916581,-17.573614164687285,34.0
149322,13.393275924001857,0.4640374492204776,0.7621288703723166,-14.844576917771747,29.75
101207,7.938764837247714,0.16266076928646772,0.27664379626092334,-35.44691649336603,29.5
125498,11.301817123279978,0.3006119210425478,0.5088128197169232,-21.117279560132122,29.5
119093,7.897557854375958,0.12961449795669328,0.22108683979276353,-21.75139637014823,25.5
120507,7.237539728384412,0.4957233929533123,1.0521238822609291,-0.09773140045925681,24.5
120842,6.701543482038463,0.07599984804658921,0.12469346986475674,-24.003511326274882,21.75
119092,6.367989237605243,0.03078485095458594,0.05257398559304803,-14.401617909337267,14.0
119599,2.054484701809378,-0.05718662582817995,-0.09438726129459606,-52.574221170128496,14.0
119095,1.5215045330823962,-0.0759735711747892,-0.12818559275851926,-51.67775370852657,11.5
120844,6.915272985067156,-0.08874729621557288,-0.1877230477424223,-0.11629327956168764,10.0
100016,2.637074367211101,-0.20151706755966936,-0.3510474601523089,-24.7344408806733,9.25
102886,1.1717454918341197,-0.20583160785470309,-0.34722230254727265,-28.00112356639287,6.25
119120,5.889418716346717,-0.22657538662791576,-0.37676700817066683,-4.328728923970098,3.0
118636,5.316889625171273,-0.3566295075143678,-0.6135251287271023,-8.316361763638701,1.0
101208,6.509026855465327,-0.8155673679088263,-1.681037866751281,-0.16224980244717319,0.75
100025,4.458209619173137,-0.5670947928476846,-0.9418212366054204,-4.308263824636346,-1.75
